title,publish_time,source,content,processed_at
瑞典电动汽车电池制造商Northvolt申请破产,2025年03月12日 15:36,环球市场播报,"瑞典电动汽车电池制造商Northvolt周三表示，已在瑞典申请破产。这标志着欧洲与亚洲主要电动汽车电池制造商形成竞争的最大希望就此破灭。
　　Northvolt去年11月已在美国申请破产法第11章项下的破产保护，因其现金储备减少，试图获得资金，以解决其在瑞典北部旗舰工厂扩大产量的持续问题。
　　这家拥有5000多名员工的公司在一份声明中表示：“公司无法获得必要的财务条件，以维持目前的形式。”
　　此前公布的文件显示，截至今年1月底，该公司的债务已超过80亿美元。

    
        
            
            			
        
    
    








			
			
			

			

			
			










			
			
			
			

            
            
            .appendQr_wrap{border:1px solid #E6E6E6;padding:8px;}
            .appendQr_normal{float:left;}
            .appendQr_normal img{width:100px;}
            .appendQr_normal_txt{float:left;font-size:20px;line-height:100px;padding-left:20px;color:#333;}
            
            
                
                海量资讯、精准解读，尽在新浪财经APP
            
            

            

			
			
责任编辑：于健 SF069",2025-03-12 15:43:41.244157
美国抨击日本“700%的大米关税” 或暗示潜在打击目标,2025年03月12日 15:35,环球市场播报,"美国总统唐纳德·特朗普政府猛烈抨击日本对大米的天价关税，暗示随着美国未来几周拟实施对等关税，大米和日本都可能成为目标。
　　“看看日本，他们对大米征收700%的关税，”美国新闻秘书Karoline Leavitt周二在新闻发布会上表示。她指着一张图表，上面列出印度和欧盟等国的关税百分比，还有日本对美国牛肉和乳制品的进口关税税率。
　　“特朗普总统信奉对等，”Leavitt在新闻发布会上说。“归根结底，他要的只是公平均衡的贸易行为。”
　　美国对进口钢铁和铝的最新关税措施周三正式生效，没有给予任何国家豁免。美国还在考虑实施对等关税，并提议4月2日起对外国汽车进口征收25%的关税。
　　日本目前对通过国家管控的贸易机制进口的大米不征收关税。通过该机制购买的大米数量上限为77万吨。通过非政府贸易进口的大米，每公斤征收341日元（2.3031美元）的关税。
　　根据日本财务省的数据，日本2022财年通过政府机制进口了67.5万吨大米，通过民间贸易进口了773吨大米。
　　日本农林水产省官员表示，700%的关税并非日本政府正式公布的数字。他补充道，政府不会公布关税税率的百分比。
　　一份日期为2015年的政府文件把超额进口大米的关税税率设在778%，脚注称这一数字是根据1999-2001年的大米价格计算得出。
　　根据日本政策研究大学院大学教授Kenichi Kawasaki，日本对美国大米的关税约为204%。

    
        
            
            			
        
    
    








			
			
			

			

			
			










			
			
			
			

            
            
            .appendQr_wrap{border:1px solid #E6E6E6;padding:8px;}
            .appendQr_normal{float:left;}
            .appendQr_normal img{width:100px;}
            .appendQr_normal_txt{float:left;font-size:20px;line-height:100px;padding-left:20px;color:#333;}
            
            
                
                海量资讯、精准解读，尽在新浪财经APP
            
            

            

			
			
责任编辑：王许宁",2025-03-12 15:43:41.244157
蔡崇信：人工智能帮助阿里优化广告等自身业务,2025年03月12日 15:32,新浪科技,"新浪科技讯 3月12日下午消息，在新加坡举办的一场论坛中，阿里巴巴集团董事长蔡崇信表示，凭借云计算业务，阿里巴巴将从人工智能的蓬勃发展中获益。“每当有人训练模型、进行推理时，都需要云计算基础设施的支持。”
　　蔡崇信还提到，阿里巴巴自身业务也能从人工智能中获益良多，例如通过人工智能优化平台上的广告投放。






			
			
			

			

			
			










			
			
			
			

            
            
            .appendQr_wrap{border:1px solid #E6E6E6;padding:8px;}
            .appendQr_normal{float:left;}
            .appendQr_normal img{width:100px;}
            .appendQr_normal_txt{float:left;font-size:20px;line-height:100px;padding-left:20px;color:#333;}
            
            
                
                海量资讯、精准解读，尽在新浪财经APP
            
            

            

			
			
责任编辑：何俊熹",2025-03-12 15:43:41.244157
杨铭宇黄焖鸡道歉：涉事门店即刻停业，并且永久关店,2025年03月12日 15:30,新浪科技,"3月12日，济南杨铭宇餐饮管理有限公司发布致歉信表示，对于近期杨铭宇旗下涉事加盟门店（郑州二七万达店、郑州康复前街店、商丘万鼎广场店）出现的食品安全问题，公司向广大消费者致以最深切的歉意。此次事件暴露出公司在涉事加盟门店的加盟管理、监督执行上的重大漏洞，公司承担全部责任。
　　公司即日起采取整改行动：
　　1、涉事加盟门店（郑州二七万达店、郑州康复前街店、商丘万鼎广场店）即刻停业，并且永久关店；
　　2、全国门店深度排查：组织专项检查组，完成所有门店食材储存、加工流程、环境卫生的彻查，一旦发现有违规门店立即停业追责；
　　3、全员强化培训与考核：所有员工重新参加食品安全培训并考核，未通过者禁止上岗；
　　4、监督机制透明化：内部监督小组每月突击检查门店，档案公开可查。






			
			
			

			

			
			










			
			
			
			

            
            
            .appendQr_wrap{border:1px solid #E6E6E6;padding:8px;}
            .appendQr_normal{float:left;}
            .appendQr_normal img{width:100px;}
            .appendQr_normal_txt{float:left;font-size:20px;line-height:100px;padding-left:20px;color:#333;}
            
            
                
                海量资讯、精准解读，尽在新浪财经APP
            
            

            

			
			
责任编辑：何俊熹",2025-03-12 15:43:41.244157
三星电子去年中国销售额飙升53.9%至64.9万亿韩元，超过对美出口额,2025年03月12日 15:30,环球市场播报,"周三公布的数据显示，得益于中国政府的刺激计划，韩国两大芯片巨头三星电子和SK海力士去年在中国的销售额均有所增长。
　　根据三星电子的年度财务报告，该公司去年向中国出口了价值64.9万亿韩元（约合448亿美元）的产品，比前一年的42.3万亿韩元增长了53.9%。
　　这一数字略高于三星电子去年对美国出口的61.5万亿韩元。
　　虽然该报告没有详细说明出口项目的细节，但三星电子表示，其位于西安的NAND闪存制造子公司三星中国半导体有限公司（Samsung China Semiconductor Co．）去年的销售额为11.2万亿韩元，而一年前为8.7万亿韩元。
　　其销售子公司上海三星半导体（Shanghai Samsung Semiconductor Co．）2024年的销售额为30.1万亿韩元，比前一年的15.6万亿韩元增长了近一倍。
　　据悉，三星电子向中国出口并销售低功耗双数据速率（LPDDR）存储器、NAND闪存、图像传感器等移动存储芯片，以及部分低级别高带宽存储器（HBM）。
　　SK海力士的中国业务也实现了稳健增长。
　　据SK海力士的年度审计报告，该公司去年在中国的销售额为5.6万亿韩元，比前年的5.1万亿韩元有所增加。
　　SK海力士（无锡）半导体的销售额为13万亿韩元，比去年同期增长了64.3%。

    
        
            
            			
        
    
    








			
			
			

			

			
			










			
			
			
			

            
            
            .appendQr_wrap{border:1px solid #E6E6E6;padding:8px;}
            .appendQr_normal{float:left;}
            .appendQr_normal img{width:100px;}
            .appendQr_normal_txt{float:left;font-size:20px;line-height:100px;padding-left:20px;color:#333;}
            
            
                
                海量资讯、精准解读，尽在新浪财经APP
            
            

            

			
			
责任编辑：于健 SF069",2025-03-12 15:43:41.244157
